,Unnamed: 0,rank,count,from,count_per
0,먹다,1,37,score 1,0.08008658008658008
1,하다,2,87,score 1,0.18831168831168832
2,있다,3,18,score 1,0.03896103896103896
3,않다,4,25,score 1,0.05411255411255411
4,소스,5,6,score 1,0.012987012987012988
5,아니다,6,18,score 1,0.03896103896103896
6,이다,7,27,score 1,0.05844155844155844
7,보다,8,19,score 1,0.04112554112554113
8,되다,9,14,score 1,0.030303030303030304
9,맛있다,10,22,score 1,0.047619047619047616
10,아쉽다,11,8,score 1,0.017316017316017316
11,이렇다,12,6,score 1,0.012987012987012988
12,알다,13,6,score 1,0.012987012987012988
13,주문,14,5,score 1,0.010822510822510822
14,좋다,15,9,score 1,0.01948051948051948
15,넣다,16,5,score 1,0.010822510822510822
16,기억,17,6,score 1,0.012987012987012988
17,껍질,18,4,score 1,0.008658008658008658
18,예약,19,4,score 1,0.008658008658008658
19,되어다,20,2,score 1,0.004329004329004329
20,지금,21,2,score 1,0.004329004329004329
21,아내,22,2,score 1,0.004329004329004329
22,어울리다,23,2,score 1,0.004329004329004329
23,방법,24,2,score 1,0.004329004329004329
24,다양하다,25,2,score 1,0.004329004329004329
25,이집,26,8,score 1,0.017316017316017316
26,많다,27,7,score 1,0.015151515151515152
27,퍽퍽,28,3,score 1,0.006493506493506494
28,게다가,29,5,score 1,0.010822510822510822
29,평범하다,30,5,score 1,0.010822510822510822
30,리뷰,31,5,score 1,0.010822510822510822
31,없다,32,17,score 1,0.0367965367965368
32,정말,33,13,score 1,0.02813852813852814
33,괜찮다,34,9,score 1,0.01948051948051948
34,레스토랑,35,7,score 1,0.015151515151515152
35,와인,36,5,score 1,0.010822510822510822
36,들다,37,6,score 1,0.012987012987012988
37,같다,38,17,score 1,0.0367965367965368
38,자다,39,7,score 1,0.015151515151515152
39,주다,40,10,score 1,0.021645021645021644
40,맛있다,1,46,score 3,0.07431340872374798
41,하다,2,90,score 3,0.14539579967689822
42,먹다,3,52,score 3,0.0840064620355412
43,나오다,4,27,score 3,0.04361873990306947
44,좋다,5,39,score 3,0.0630048465266559
45,자다,6,15,score 3,0.024232633279483037
46,살짝,7,10,score 3,0.01615508885298869
47,메뉴,8,10,score 3,0.01615508885298869
48,방문,9,19,score 3,0.030694668820678513
49,없다,10,17,score 3,0.027463651050080775
50,생각,11,13,score 3,0.0210016155088853
51,있다,12,18,score 3,0.029079159935379646
52,아쉽다,13,13,score 3,0.0210016155088853
53,사실,14,5,score 3,0.008077544426494346
54,같다,15,17,score 3,0.027463651050080775
55,많다,16,8,score 3,0.012924071082390954
56,알다,17,4,score 3,0.006462035541195477
57,모르다,18,6,score 3,0.009693053311793215
58,파스타,19,13,score 3,0.0210016155088853
59,이다,20,20,score 3,0.03231017770597738
60,아니다,21,23,score 3,0.03715670436187399
61,주문,22,16,score 3,0.025848142164781908
62,음식,23,15,score 3,0.024232633279483037
63,아뮤즈,24,4,score 3,0.006462035541195477
64,트러플,25,9,score 3,0.014539579967689823
65,요리,26,22,score 3,0.035541195476575124
66,좋아하다,27,8,score 3,0.012924071082390954
67,레스토랑,28,4,score 3,0.006462035541195477
68,들다,29,12,score 3,0.01938610662358643
69,디저트,30,11,score 3,0.017770597738287562
70,크다,31,5,score 3,0.008077544426494346
71,익히다,32,4,score 3,0.006462035541195477
72,않다,33,19,score 3,0.030694668820678513
73,따다,34,4,score 3,0.006462035541195477
74,만들다,35,2,score 3,0.0032310177705977385
75,당연하다,36,2,score 3,0.0032310177705977385
76,버섯,37,4,score 3,0.006462035541195477
77,감흥,38,2,score 3,0.0032310177705977385
78,식감,39,8,score 3,0.012924071082390954
79,작다,40,3,score 3,0.004846526655896607
80,하다,1,1003,score 5,0.13715301517844933
81,있다,2,465,score 5,0.06358539587036784
82,먹다,3,654,score 5,0.08942978257896896
83,좋다,4,474,score 5,0.06481608095172979
84,않다,5,226,score 5,0.030903869820866948
85,되다,6,180,score 5,0.02461370162723916
86,보다,7,179,score 5,0.024476958840421167
87,맛있다,8,564,score 5,0.07712293176534937
88,아니다,9,113,score 5,0.015451934910433474
89,메뉴,10,198,score 5,0.02707507178996308
90,없다,11,184,score 5,0.025160672774511145
91,같다,12,191,score 5,0.026117872282237112
92,자다,13,140,score 5,0.01914399015451935
93,나오다,14,184,score 5,0.025160672774511145
94,싶다,15,122,score 5,0.016682619991795433
95,들다,16,112,score 5,0.015315192123615479
96,이다,17,255,score 5,0.03486941063858882
97,소스,18,118,score 5,0.01613564884452345
98,느낌,19,125,score 5,0.017092848352249418
99,재료,20,84,score 5,0.01148639409271161
100,주문,21,89,score 5,0.012170108026801586
101,정도,22,94,score 5,0.012853821960891562
102,되어다,23,59,score 5,0.008067824422261725
103,느끼다,24,54,score 5,0.007384110488171749
104,방문,25,142,score 5,0.019417475728155338
105,만들다,26,50,score 5,0.0068371393408997675
106,버터,27,56,score 5,0.0076575960618077395
107,좋아하다,28,85,score 5,0.011623136879529605
108,생각,29,95,score 5,0.012990564747709559
109,가다,30,142,score 5,0.019417475728155338
110,하나,31,143,score 5,0.019554218514973336
111,요리,32,164,score 5,0.022425817038151236
112,음식,33,122,score 5,0.016682619991795433
113,새우,34,70,score 5,0.009571995077259674
114,차다,35,33,score 5,0.004512511964993846
115,살짝,36,59,score 5,0.008067824422261725
116,식감,37,59,score 5,0.008067824422261725
117,아주,38,70,score 5,0.009571995077259674
118,주다,39,54,score 5,0.007384110488171749
119,오다,40,102,score 5,0.013947764255435527
